Educ,YEAR,Age_grp,w.obs,obs,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd
NoHS,2016,"(20,25]",426102.9003091702,75,-1.2202442092390784,1.983954587488856,3.177462059451596,0.7616606769587932
NoHS,2016,"(25,30]",572019.0701611722,128,-1.7045727244585136,2.020046779407078,3.342666992436086,0.7549000070898982
NoHS,2016,"(30,35]",1083805.9362137567,237,-1.3591189272841762,1.9544768789537215,3.436543581534917,0.6080798703207957
NoHS,2016,"(35,40]",1117228.9060454413,255,-0.7113570809072158,1.758173799757894,3.5202450508073095,0.6538283067611299
NoHS,2016,"(40,45]",1253396.2247466599,282,-0.9238666394895796,1.5697292308977422,3.5595177023976197,0.6324683557632237
NoHS,2016,"(45,50]",1184721.479256723,252,-0.3504157807541167,1.804519793576478,3.744845902470997,0.8825353737028022
NoHS,2016,"(50,55]",1587424.7574639635,354,-0.4014089337029431,2.3083383674344584,3.558683996156103,0.7530590882309426
NoHS,2016,"(55,60]",1239330.6526274304,264,-0.2395744876995879,2.1148013742259275,3.723444138201125,0.9729149979740301
NoHS,2016,"(60,65]",1337585.744633945,282,0.13142804385193363,1.9401557803469,3.269493905272199,0.7293473161346198
NoHS,2016,"(65,70]",1346875.0971065306,266,-0.019020380577644234,2.1028712248056416,3.36061129185814,0.7290085820212086
NoHS,2016,"(70,75]",1164114.4812628857,190,0.08106008252281627,2.6328513445056787,3.318847429039229,0.7015154290430261
NoHS,2016,"(75,80]",963491.3403825845,145,0.6113764338976578,2.951614556857408,3.2829836075533234,0.6488235961651002
NoHS,2016,"(80,85]",753745.7765274209,122,0.8791008195027699,2.500773574234728,3.281804230129987,0.7748633135679501
NoHS,2016,"(85,90]",349000.0869612086,65,0.24878101366610136,2.3894220690499766,3.017332140281132,0.48721538906805556
NoHS,2016,"(90,95]",72167.3444160303,10,-0.28749174930127486,2.589617657132833,3.0387342675960882,0.2615192019142404
NoHS,2019,"(15,20]",120605.94458257339,15,-1.729188216033612,1.049223815350359,3.369476429957869,0.38358057215880703
NoHS,2019,"(20,25]",410214.77603528986,71,-1.4917276694817732,1.7042235658702507,3.1266960731054008,0.6869951844427172
NoHS,2019,"(25,30]",476313.6112551994,83,-1.3193147983729911,1.7636539635685509,3.3750711024793363,0.5842523047436368
